,sentimen,text
0,Positive,|@PrincessSuperC Hai Cici tersayang! Cuma mau memberitaukan kalau saya cinta kamu! OH! Dan akan berkunjung secepatnya? Fantasi berkendari 5 Mei!!!!|
1,Positive,|@Msdebramaye Saya mendengar tentang kontes itu! Selamat teman!!|
2,Positive,|UNC!!! Pemenang NCAA!! Franklin St.: I ADA DISANA!! SANGAT SERU!!!!!! Ini adalah yang terbaik...yang pernah ada http://tinyurl.com/49955t3|
3,Positive,|@DivHumas_Polri: Hoax dan Ujaran Kebencian dapat mengancam persatuan \n\nLaporkan dan Janban Ikut Menyebarkan\n\n#PolriPromoter #PolriHumani\xe2\x80\xa6'|
4,Positive,|@DivHumas_Polri: Polri : Reuni 212 Berjalan Kondusif\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t.co/dxWUJk96g5|
5,Positive,"|Ayo pak @BareskrimPolri @CCICPolri @DivHumas_Polri @KejaksaanRI segera ditindak, jangan sampe nanti di katakan B***I https://t.co/pX7ZMiHZWC|"
6,Positive,"|RT @fahiraidris: Mantap Pak Wakapolsek Minahasa Utara, Kauditan Ipda L. Hadi Purwanto. Semangat kepolisian menyelamatkan anak bangsa dari b\xe2\x80\xa6|"
7,Positive,|@DivHumas_Polri: Hoax dan Ujaran Kebencian dapat mengancam persatuan \n\nLaporkan dan Janban Ikut Menyebarkan\n\n#PolriPromoter #PolriHumani\xe2\x80\xa6|
8,Positive,"|@DivHumas_Polri @PolriMultimedia Pa kapolri benar, sebab pa kapolri ngitungnya pas ba'da ashar jm 16..|"
9,Positive,|@DivHumas_Polri: Hoax dan Ujaran Kebencian dapat mengancam persatuan \n\nLaporkan dan Janban Ikut Menyebarkan\n\n#PolriPromoter #PolriHumani\xe2\x80\xa6|
10,Positive,"|@muannas_alaidid @GunRomli @DivHumas_Polri @psi_id @AntoniRaja Lanjutkan saja pak, biar yg beginian jadi efek jera.masa seenaknya minta maap|"
11,Positive,"|@korantempo Ayuk pak, pakai helm. @TMCPoldaMetro @NTMCLantasPolri @DivHumas_Polri #DKIJakarta #jaktim #SafetyFirst https://t.co/d2OEysSf7r|"
12,Positive,|@lembagaPI: [Siaran Pers] HOAX! Tidak Benar Pati Polri Dukung Salah Satu Paslon Pilpres 2019 via @pemilihLPI https://t.co/W0rmtx83pS cc\xe2\x80\xa6|
13,Positive,"|Kapolres Kediri kota menghimbau agar selalu menjaga kerukunan, jangan mudah terprovokasi &amp; hindari menyebarkan HOAX\xe2\x80\xa6 https://t.co/GuOxo36mTI|"
14,Positive,|@DivHumas_Polri: Sa Bangga Menjadi Anak Indonesia\n\n#PolriPromoter #PolriHumanis #ThinkBeforePosting @PolriMultimedia https://t.co/iRb3KR\xe2\x80\xa6|
15,Positive,"|@humaspolsekup01: Beginilah keakraban Bhabinkamtibmas Losari,.Brigpol Muh. Yunus WTT, dengan warganya,..... kedepankan dialog kamtibmas,\xe2\x80\xa6|"
16,Positive,|RT @DivHumas_Polri: Hoax dan Ujaran Kebencian dapat mengancam persatuan \n\nLaporkan dan Janban Ikut Menyebarkan\n\n#PolriPromoter #PolriHumani\xe2\x80\xa6|
17,Positive,|@DivHumas_Polri: Jiwa Raga TNI-Polri untuk NKRI\n\nTNI-Polri Kawan Agenda Nasional Pada Tahun Politik\n\n#PolriHumanis #PolriPromoter #TNIPo\xe2\x80\xa6|
