,ip_address,web_source,datetime,get,get_num,get_num2,web_source2,specification,TLS,tls_num1,tls_num2,tls_num3,status,status_num,NC,UP
0,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:30,GET /wp-admin/admin-ajax.php?postviews_id=60963&action=postviews&_=1664960849485 HTTP/2.0,200.0,5.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,0.294,0.294,0.294,MISS,0.0,NC:000000,UP:SKIP_CACHE_NO_CACHE
2,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:29,GET /?mcsf_action=main_css&ver=6.0.2 HTTP/2.0,200.0,389.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,,,0.0,HIT,0.0,NC:000000,UP:-
4,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:29,GET / HTTP/2.0,200.0,18928.0,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,,,0.0,HIT,0.0,NC:000000,UP:-
6,69.191.249.214,www.goldenagri.com.sg,2022-10-05 09:07:25,GET /investors/ HTTP/2.0,200.0,19422.0,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36",TLSv1.3,,,0.001,HIT,0.0,NC:000000,UP:-
8,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:19,GET /about-us HTTP/2.0,301.0,0.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,0.198,0.198,0.198,MISS,0.0,NC:000000,UP:-
10,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:12,GET /about-us HTTP/2.0,301.0,0.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,0.235,0.235,0.235,MISS,0.0,NC:000000,UP:-
12,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:10,GET /wp-admin/admin-ajax.php?postviews_id=60963&action=postviews&_=1664960829639 HTTP/2.0,200.0,5.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,0.275,0.275,0.275,MISS,0.0,NC:000000,UP:SKIP_CACHE_NO_CACHE
14,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:09,GET /?mcsf_action=main_css&ver=6.0.2 HTTP/2.0,200.0,389.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,,,0.0,HIT,0.0,NC:000000,UP:-
16,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:09,GET / HTTP/2.0,200.0,18928.0,,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,,,0.0,HIT,0.0,NC:000000,UP:-
18,115.178.194.205,www.goldenagri.com.sg,2022-10-05 09:07:09,POST /wp-admin/admin-ajax.php HTTP/2.0,200.0,67.0,https://www.goldenagri.com.sg/wp-admin/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",TLSv1.3,0.374,0.374,0.375,,0.0,NC:200000,UP:-DT
20,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:07,GET /wp-admin/admin-ajax.php?postviews_id=60963&action=postviews&_=1664960827299 HTTP/2.0,200.0,5.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,0.274,0.274,0.274,MISS,0.0,NC:000000,UP:SKIP_CACHE_NO_CACHE
22,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:07,GET /?mcsf_action=main_css&ver=6.0.2 HTTP/2.0,200.0,389.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,,,0.0,HIT,0.0,NC:000000,UP:-
24,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:07,GET / HTTP/2.0,200.0,18928.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,,,0.0,HIT,0.0,NC:000000,UP:-
26,207.46.13.209,www.goldenagri.com.sg,2022-10-05 09:07:06,GET /cn/sustainable-palm-oil-2022/ HTTP/2.0,200.0,58654.0,,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),TLSv1.3,,,0.4,HIT,0.0,NC:000000,UP:-
28,158.140.131.122,www.goldenagri.com.sg,2022-10-05 09:07:04,GET /wp-admin/admin-ajax.php?postviews_id=60963&action=postviews&_=1664960824227 HTTP/2.0,200.0,5.0,https://www.goldenagri.com.sg/,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,TLSv1.3,0.317,0.317,0.318,MISS,0.0,NC:000000,UP:SKIP_CACHE_NO_CACHE
