,ip_address,web_source,datetime,get_log,number_log_1,number_log_2,web_source_features,specification,TLS,tls_num1,tls_num2,tls_num3,status_tls,status_num,NC,up
0,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:45,GET /gar-kupas-sejumlah-tantangan-dalam-membangun-tenaga-kerja-perkebunan-yang-berkelanjutan/ HTTP/1.1,200.0,51356.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.436,0.44,0.765,MISS,0.0,NC:000000,UP:-
2,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:43,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional HTTP/1.1,301.0,0.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.196,0.196,0.196,MISS,0.0,NC:000000,UP:-
4,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:43,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional/ HTTP/1.1,200.0,51586.0,https://www.smart-tbk.com/pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.024,HIT,0.0,NC:000000,UP:-
6,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:42,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional HTTP/1.1,301.0,0.0,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.249,0.249,0.249,MISS,0.0,NC:000000,UP:-
8,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:42,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional/ HTTP/1.1,200.0,51594.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.0,HIT,0.0,NC:000000,UP:-
10,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:41,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional/ HTTP/1.1,200.0,51586.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.433,0.437,0.934,MISS,0.0,NC:000000,UP:-
12,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:40,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper HTTP/1.1,301.0,0.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.238,0.238,0.238,MISS,0.0,NC:000000,UP:-
14,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:40,GET /favicon.ico HTTP/2.0,200.0,15086.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
16,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:39,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper/ HTTP/1.1,200.0,51346.0,https://www.smart-tbk.com/pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.028,HIT,0.0,NC:000000,UP:-
18,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:39,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper HTTP/1.1,301.0,0.0,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.29,0.29,0.29,MISS,0.0,NC:000000,UP:-
20,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:38,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper/ HTTP/1.1,200.0,51347.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.354,0.357,0.666,MISS,0.0,NC:000000,UP:-
22,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:37,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper/ HTTP/1.1,200.0,51346.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.351,0.355,0.935,MISS,0.0,NC:000000,UP:-
24,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:36,GET /pt-smart-tbk-kembangkan-unsur-unsur-program-pencegahan-kebakaran-yang-berhasil-dilaksanakannya-pada-tahun-2017 HTTP/1.1,301.0,0.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.225,0.225,0.225,MISS,0.0,NC:000000,UP:-
