,datetime,timezone,status_apache,client,pid,num_client,AH,configuration,status_client,web_feature1,referer,web_feature2
0,2022-10-06 04:26:47,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2022/02/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2022/02
2,2022-10-06 04:26:47,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2022/02/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2022/02
4,2022-10-06 04:26:41,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2019/10/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2019/10
6,2022-10-06 04:26:41,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2019/10/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2019/10
8,2022-10-06 04:26:41,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2019/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2019
10,2022-10-06 04:26:41,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2019/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2019
12,2022-10-06 04:26:34,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2022/08/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2022/08
14,2022-10-06 04:26:34,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2022/08/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2022/08
16,2022-10-06 04:26:20,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2021/10/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2021/10
18,2022-10-06 04:26:20,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2021/10/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2021/10
20,2022-10-06 04:26:15,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2020/05/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2020/05
22,2022-10-06 04:26:15,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2020/05/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2020/05
24,2022-10-06 04:26:15,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2020/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2020
26,2022-10-06 04:26:15,UTC,[apache][access_compat:error],client,pid 20169,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2020/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2020
28,2022-10-06 04:26:06,UTC,[apache][access_compat:error],client,pid 20104,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2018/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2018
30,2022-10-06 04:26:06,UTC,[apache][access_compat:error],client,pid 20104,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2018/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2018
32,2022-10-06 04:26:05,UTC,[apache][access_compat:error],client,pid 20104,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2018/12/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2018/12
34,2022-10-06 04:26:05,UTC,[apache][access_compat:error],client,pid 20104,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2018/12/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2018/12
36,2022-10-06 04:26:04,UTC,[apache][access_compat:error],client,pid 20104,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2022/06/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2022/06
38,2022-10-06 04:26:04,UTC,[apache][access_compat:error],client,pid 20104,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2022/06/Index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2022/06
40,2022-10-06 04:26:02,UTC,[apache][access_compat:error],client,pid 20104,115.178.207.54:12136,AH01797,configuration:,client denied by server,/home/customer/www/smart-tbk.com/public_html/wp-content/uploads/2022/09/index.php,referer,https://www.smart-tbk.com/wp-content/uploads/2022/09
